id,name,lat,lon,cuisine_type,halal_cert,price_range,has_prayer_room,address,phone,hours,notes,source,verified_date
HLR_BKK_216,ร้านครัวร่มไม้ (LEEWAN HALAL),13.7354331,100.6260497,,Unverified,,,ร้านครัวร่มไม้ (LEEWAN HALAL),,,,Google My Maps Export,
HLR_BKK_217,เบดูอิน สเต็ก&เคบับ Beadouin Stek&kebab,13.7359675,100.6260225,,Unverified,,,เบดูอิน สเต็ก&เคบับ Beadouin Stek&kebab,,,,Google My Maps Export,
HLR_BKK_218,ฮาลาลฟูด ข้าวแกงเมืองใต้ ชาชัก,13.7547883,100.6301803,,Unverified,,,ฮาลาลฟูด ข้าวแกงเมืองใต้ ชาชัก,,,,Google My Maps Export,
HLR_BKK_219,ฮาลาล food Byบังการีม,13.7618446,100.6425148,,Unverified,,,ฮาลาล food Byบังการีม,,,,Google My Maps Export,
HLR_BKK_220,ป.6/3​ ฮาลาล จิ้มจุ่ม,13.7520296,100.6477325,,Unverified,,,ป.6/3​ ฮาลาล จิ้มจุ่ม,,,,Google My Maps Export,
HLR_BKK_221,Yam Saap Nau Halal Food,13.7410201,100.6140634,,Unverified,,,Yam Saap Nau Halal Food,,,,Google My Maps Export,
HLR_BKK_222,Hatyai Fried Chicken (Bung Nod) Halal,13.7605791,100.622877,,Unverified,,,Hatyai Fried Chicken (Bung Nod) Halal,,,,Google My Maps Export,
HLR_BKK_223,ดี​วาฮาบ​ D'WAHAB​ (Halal),13.7619028,100.6240445,,Unverified,,,ดี​วาฮาบ​ D'WAHAB​ (Halal),,,,Google My Maps Export,
HLR_BKK_224,Phrigkiao Bangkok,13.7444446,100.5351353,,Unverified,,,Phrigkiao Bangkok,,,,Google My Maps Export,
HLR_BKK_225,Farida curry rice-beef noodles (Ayutthaya) Halal,13.7565461,100.6127155,,Unverified,,,Farida curry rice-beef noodles (Ayutthaya) Halal,,,,Google My Maps Export,
HLR_BKK_226,Ahmad Halal Food,13.6896618,100.6399825,,Unverified,,,Ahmad Halal Food,,,,Google My Maps Export,
